Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
959,4,-1813652390,1848602398
960,2,-636020539,-682786581
961,3,305664193,-1870590180
962,-3,219608106,235941337
963,3,-1777045620,1384125123
964,-3,348314160,-2098017715
965,1,-1041313967,1390241525
966,2,-321468604,-1842060544
967,4,1323459029,1326125314
968,-5,295505663,-1976636242
969,4,905895533,742050616
970,2,-1289779574,-468967631
971,-3,-773600946,-46178781
972,-1,2056664935,1785907523
973,-3,913000864,-1270968129
974,3,1185698294,1349781957
975,-6,-2032651227,2004127287
976,-5,1997962192,1448987800
977,2,1888412246,-43823816
978,-4,1910674936,-1086351708
979,1,-1387357247,647958989
980,-1,1787774795,1627395592
981,6,448291837,-194993615
982,-6,43857840,-2052347487
983,-3,-1128808735,-1150794447
984,6,413183471,-131937438
985,-5,1766329249,-85944583
986,-3,-304330385,1136003987
987,-4,1328691594,2002461006
988,-4,908660690,675019861
989,1,-740500737,-518515609
990,-5,199933128,1564520116
991,3,1059194089,1707814258
992,6,1291505690,-1530653165
993,1,-986074816,-1719103032
994,-1,-2003884983,-1557771872
995,4,-1715320876,489641216
996,3,10736468,1453995459
997,5,2029103327,168273104
998,-5,1647071620,1895411860
999,2,1767637378,-1592065856
Iteration,Pancake Values,Syrup Values,PancakeAndSyrup Values
0,-5,688,533
1,2,701,763
2,3,850,943
3,-8,680,432
4,5,827,982
5,3,835,928
6,-4,841,717
7,-3,708,615
8,-8,744,496
9,-6,792,606
10,4,793,917
11,3,814,907
12,-5,778,623
13,-4,843,719
14,-6,687,501
15,-6,800,614
16,-6,806,620
17,4,751,875
18,-4,779,655
19,2,794,856
20,-8,743,495
21,6,828,1014
22,6,778,964
23,6,773,959
24,6,744,930
25,-4,772,648
26,-7,787,570
27,6,724,910
28,-7,843,626
29,-7,814,597
30,-3,834,741
31,-4,687,563
32,1,828,859
33,-6,757,571
34,1,744,775
35,2,808,870
36,-5,745,590
37,-6,785,599
38,3,794,887
39,3,841,934
40,-6,827,641
41,6,828,1014
42,-6,682,496
43,5,820,975
44,-4,801,677
45,-6,689,503
46,-4,759,635
47,-7,801,584
48,4,703,827
49,-6,801,615
50,2,751,813
51,-8,800,552
52,-7,778,561
53,4,701,825
54,6,752,938
55,-7,716,499
56,-6,836,650
57,-4,738,614
58,-3,680,587
59,-5,828,673
60,5,850,1005
61,-8,757,509
62,-4,801,677
63,3,682,775
64,5,766,921
65,-5,820,665
66,2,828,890
67,-6,808,622
68,4,715,839
69,4,716,840
70,4,827,951
71,-8,785,537
72,-5,722,567
73,5,786,941
74,-4,695,571
75,5,765,920
76,-5,752,597
77,-6,771,585
78,5,813,968
79,-4,710,586
80,-5,800,645
81,3,800,893
82,2,694,756
83,-4,682,558
84,2,757,819
85,1,757,788
86,-3,787,694
87,6,828,1014
88,2,787,849
89,4,680,804
90,-8,730,482
91,3,807,900
92,-5,835,680
93,4,800,924
94,-8,814,566
95,3,688,781
96,2,829,891
97,1,766,797
98,-5,758,603
99,4,680,804
100,5,841,996
101,-3,843,750
102,-3,829,736
103,1,813,844
104,-4,751,627
105,4,850,974
106,6,730,916
107,-8,736,488
108,-8,696,448
109,4,813,937
110,3,717,810
111,6,745,931
112,-3,745,652
113,2,766,828
114,4,716,840
115,6,759,945
116,1,807,838
117,4,820,944
118,5,848,1003
119,-5,702,547
120,2,743,805
121,1,710,741
122,-8,710,462
123,1,696,727
124,4,828,952
125,6,689,875
126,-8,738,490
127,-8,793,545
128,6,751,937
129,4,688,812
130,-7,716,499
131,6,709,895
132,6,724,910
133,-4,764,640
134,4,724,848
135,2,750,812
136,1,716,747
137,-4,716,592
138,-3,696,603
139,-7,694,477
140,2,688,750
141,5,710,865
142,-3,779,686
143,-3,750,657
144,2,694,756
145,6,758,944
146,6,724,910
147,-8,703,455
148,-3,822,729
149,-7,682,465
150,-8,758,510
151,6,722,908
152,-4,849,725
153,4,688,812
154,-6,766,580
155,-3,687,594
156,-8,722,474
157,5,695,850
158,-3,722,629
159,-7,682,465
160,-5,717,562
161,2,750,812
162,1,766,797
163,-3,808,715
164,6,757,943
165,-6,808,622
166,-3,703,610
167,-8,813,565
168,-8,696,448
169,3,710,803
170,-6,772,586
171,1,841,872
172,1,708,739
173,-3,850,757
174,-7,752,535
175,-3,841,748
176,-3,757,664
177,-6,836,650
178,-4,829,705
179,-3,786,693
180,-8,801,553
181,-3,723,630
182,6,687,873
183,6,731,917
184,1,778,809
185,1,745,776
186,3,771,864
187,-5,765,610
188,-4,820,696
189,4,751,875
190,6,814,1000
191,1,764,795
192,-5,757,602
193,-5,786,631
194,6,792,978
195,6,827,1013
196,6,842,1028
197,-4,807,683
198,6,737,923
199,1,729,760
200,-4,814,690
201,5,731,886
202,-6,724,538
203,-8,841,593
204,2,687,749
205,-3,779,686
206,6,820,1006
207,-3,687,594
208,-3,842,749
209,-8,787,539
210,4,827,951
211,-6,708,522
212,-6,738,552
213,6,764,950
214,-8,771,523
215,1,794,825
216,5,688,843
217,6,730,916
218,-4,785,661
219,2,695,757
220,-4,752,628
221,1,710,741
222,2,848,910
223,6,841,1027
224,-5,694,539
225,1,758,789
226,4,822,946
227,4,702,826
228,-5,850,695
229,6,822,1008
230,-7,807,590
231,2,848,910
232,-4,723,599
233,-8,793,545
234,-5,793,638
235,6,829,1015
236,4,842,966
237,3,834,927
238,3,702,795
239,3,737,830
240,-3,681,588
241,-7,827,610
242,3,814,907
243,-5,694,539
244,2,829,891
245,3,738,831
246,-3,765,672
247,-5,729,574
248,-8,731,483
249,-3,814,721
250,-6,820,634
251,4,815,939
252,6,765,951
253,-8,785,537
254,-6,689,503
255,4,751,875
256,4,829,953
257,-4,814,690
258,1,716,747
259,3,836,929
260,1,829,860
261,-8,716,468
262,3,759,852
263,-5,841,686
264,-3,682,589
265,5,758,913
266,-7,729,512
267,-7,829,612
268,1,689,720
269,-8,780,532
270,1,708,739
271,-4,715,591
272,-6,815,629
273,6,779,965
274,-3,799,706
275,-4,793,669
276,-6,765,579
277,2,717,779
278,-7,694,477
279,-5,800,645
280,4,752,876
281,5,813,968
282,2,694,756
283,4,703,827
284,3,738,831
285,1,682,713
286,-5,716,561
287,-6,744,558
288,-3,723,630
289,1,743,774
290,5,724,879
291,-6,738,552
292,-4,695,571
293,1,787,818
294,3,757,850
295,1,702,733
296,4,758,882
297,5,765,920
298,1,792,823
299,-8,835,587
300,1,764,795
301,-7,745,528
302,6,750,936
303,2,764,826
304,-4,829,705
305,3,808,901
306,5,709,864
307,-6,689,503
308,6,738,924
309,6,793,979
310,4,744,868
311,6,729,915
312,-5,799,644
313,-6,744,558
314,5,794,949
315,-5,738,583
316,-8,710,462
317,5,834,989
318,-8,757,509
319,-8,794,546
320,2,687,749
321,1,681,712
322,-8,751,503
323,-6,743,557
324,6,723,909
325,-8,716,468
326,-5,696,541
327,-7,759,542
328,1,822,853
329,5,680,835
330,4,682,806
331,4,694,818
332,-8,820,572
333,-4,696,572
334,-8,808,560
335,6,759,945
336,-4,710,586
337,5,681,836
338,3,773,866
339,-7,772,555
340,6,808,994
341,5,822,977
342,2,743,805
343,6,716,902
344,-4,842,718
345,1,745,776
346,5,751,906
347,-6,701,515
348,-6,828,642
349,-3,743,650
350,3,834,927
351,6,849,1035
352,-8,694,446
353,2,828,890
354,1,680,711
355,6,744,930
356,4,765,889
357,-6,835,649
358,-7,792,575
359,2,841,903
360,-4,834,710
361,1,687,718
362,6,792,978
363,5,752,907
364,-5,766,611
365,4,773,897
366,4,708,832
367,1,779,810
368,3,780,873
369,-3,820,727
370,-7,730,513
371,6,708,894
372,-5,772,617
373,2,751,813
374,2,708,770
375,2,696,758
376,-6,703,517
377,-5,681,526
378,3,828,921
379,-6,709,523
380,2,759,821
381,-4,800,676
382,5,717,872
383,4,822,946
384,-4,687,563
385,-8,829,581
386,6,724,910
387,2,751,813
388,-4,836,712
389,-8,807,559
390,6,827,1013
391,2,744,806
392,-6,773,587
393,4,764,888
394,-5,738,583
395,4,793,917
396,3,681,774
397,6,806,992
398,4,848,972
399,5,724,879
400,1,695,726
401,-5,737,582
402,-3,682,589
403,2,743,805
404,4,850,974
405,5,815,970
406,-7,736,519
407,1,745,776
408,-7,723,506
409,-7,827,610
410,4,702,826
411,-6,800,614
412,-7,730,513
413,-7,737,520
414,-8,751,503
415,-5,729,574
416,-5,779,624
417,-6,779,593
418,-5,806,651
419,-4,773,649
420,-3,766,673
421,6,778,964
422,-4,729,605
423,-7,703,486
424,4,842,966
425,6,843,1029
426,-8,820,572
427,1,792,823
428,6,793,979
429,-7,779,562
430,-3,687,594
431,-3,702,609
432,1,848,879
433,-4,703,579
434,2,722,784
435,-4,681,557
436,5,771,926
437,2,694,756
438,2,786,848
439,2,773,835
440,-8,744,496
441,2,708,770
442,-7,722,505
443,-8,715,467
444,-3,744,651
445,-8,682,434
446,6,808,994
447,-6,743,557
448,-6,829,643
449,5,745,900
450,-6,681,495
451,2,771,833
452,-7,715,498
453,3,708,801
454,1,743,774
455,2,701,763
456,6,758,944
457,-7,751,534
458,-8,687,439
459,3,787,880
460,4,758,882
461,3,759,852
462,4,766,890
463,-5,696,541
464,4,764,888
465,3,792,885
466,2,815,877
467,-3,793,700
468,3,695,788
469,3,709,802
470,-5,807,652
471,-7,843,626
472,5,709,864
473,-6,738,552
474,1,822,853
475,-4,794,670
476,-6,806,620
477,2,701,763
478,-8,828,580
479,4,752,876
480,-4,722,598
481,-7,787,570
482,1,766,797
483,-7,787,570
484,-3,752,659
485,-3,736,643
486,-3,848,755
487,6,682,868
488,1,772,803
489,-4,778,654
490,3,715,808
491,-7,850,633
492,4,702,826
493,4,759,883
494,-3,772,679
495,4,745,869
496,-6,765,579
497,3,723,816
498,-3,696,603
499,-5,689,534
500,2,771,833
501,4,696,820
502,6,806,992
503,-3,779,686
504,3,723,816
505,2,787,849
506,-3,799,706
507,-6,785,599
508,3,716,809
509,2,743,805
510,6,745,931
511,-6,808,622
512,5,703,858
513,-8,710,462
514,1,758,789
515,3,808,901
516,-7,694,477
517,3,716,809
518,-8,724,476
519,-8,841,593
520,-7,688,471
521,6,687,873
522,3,695,788
523,-3,715,622
524,-4,806,682
525,1,751,782
526,-8,743,495
527,1,808,839
528,-4,808,684
529,3,745,838
530,-5,715,560
531,-7,849,632
532,6,731,917
533,6,751,937
534,-3,710,617
535,-3,744,651
536,-8,724,476
537,-4,702,578
538,5,688,843
539,6,848,1034
540,-4,786,662
541,-4,808,684
542,-6,794,608
543,6,815,1001
544,-4,703,579
545,2,736,798
546,6,786,972
547,5,841,996
548,3,702,795
549,-7,738,521
550,1,787,818
551,4,715,839
552,-6,799,613
553,4,689,813
554,1,849,880
555,3,696,789
556,-4,689,565
557,-6,780,594
558,5,829,984
559,-4,731,607
560,1,808,839
561,1,834,865
562,1,785,816
563,-4,687,563
564,-4,751,627
565,-6,773,587
566,1,835,866
567,3,766,859
568,-7,834,617
569,2,695,757
570,1,836,867
571,3,813,906
572,4,806,930
573,6,764,950
574,3,772,865
575,5,736,891
576,2,757,819
577,-5,827,672
578,1,786,817
579,1,835,866
580,-3,682,589
581,6,722,908
582,-6,695,509
583,4,745,869
584,5,815,970
585,-8,717,469
586,5,730,885
587,4,695,819
588,2,785,847
589,5,757,912
590,2,814,876
591,-6,729,543
592,-6,842,656
593,3,843,936
594,6,779,965
595,3,723,816
596,2,801,863
597,2,687,749
598,6,834,1020
599,3,703,796
600,-7,731,514
601,-5,745,590
602,-5,738,583
603,-5,702,547
604,6,710,896
605,2,800,862
606,6,821,1007
607,-6,815,629
608,-4,815,691
609,1,708,739
610,4,835,959
611,-3,822,729
612,2,757,819
613,-6,680,494
614,-7,813,596
615,6,745,931
616,-4,689,565
617,-8,806,558
618,2,695,757
619,5,702,857
620,-5,829,674
621,4,787,911
622,-4,848,724
623,-4,695,571
624,-3,834,741
625,6,792,978
626,-7,773,556
627,2,703,765
628,-4,701,577
629,2,848,910
630,5,778,933
631,-8,729,481
632,-8,771,523
633,-7,702,485
634,-4,785,661
635,1,815,846
636,-5,821,666
637,1,820,851
638,3,772,865
639,-5,695,540
640,2,834,896
641,-7,850,633
642,-8,835,587
643,5,808,963
644,-6,799,613
645,-6,745,559
646,3,780,873
647,-8,736,488
648,6,716,902
649,-6,806,620
650,3,744,837
651,-8,773,525
652,-3,757,664
653,6,710,896
654,-4,709,585
655,-3,800,707
656,3,808,901
657,-5,773,618
658,-3,841,748
659,6,834,1020
660,-6,807,621
661,-3,736,643
662,-3,842,749
663,-8,848,600
664,-4,794,670
665,-6,836,650
666,-5,687,532
667,4,737,861
668,3,849,942
669,4,801,925
670,-7,820,603
671,5,793,948
672,2,694,756
673,-8,688,440
674,3,729,822
675,1,794,825
676,3,801,894
677,-8,808,560
678,-8,745,497
679,-3,688,595
680,6,703,889
681,-4,849,725
682,4,787,911
683,4,696,820
684,1,681,712
685,-6,702,516
686,-6,764,578
687,4,708,832
688,-6,708,522
689,3,807,900
690,-4,722,598
691,-8,696,448
692,-7,724,507
693,4,688,812
694,3,758,851
695,6,800,986
696,1,787,818
697,4,808,932
698,4,757,881
699,-8,759,511
700,-4,799,675
701,1,778,809
702,-8,800,552
703,6,772,958
704,-7,758,541
705,6,759,945
706,6,828,1014
707,2,729,791
708,-6,792,606
709,6,850,1036
710,-6,710,524
711,-3,731,638
712,3,820,913
713,-5,765,610
714,4,681,805
715,4,801,925
716,-4,828,704
717,6,729,915
718,-4,694,570
719,-5,800,645
720,-4,752,628
721,3,835,928
722,1,702,733
723,-7,701,484
724,-6,794,608
725,-4,682,558
726,-3,834,741
727,3,681,774
728,-5,820,665
729,6,814,1000
730,-4,771,647
731,-6,792,606
732,-5,722,567
733,-8,773,525
734,-3,765,672
735,-8,841,593
736,2,780,842
737,5,773,928
738,6,687,873
739,-6,687,501
740,-5,681,526
741,-6,786,600
742,5,813,968
743,-7,850,633
744,-8,695,447
745,-7,842,625
746,-6,737,551
747,-3,827,734
748,-6,730,544
749,-4,723,599
750,1,814,845
751,3,758,851
752,-6,758,572
753,-3,814,721
754,4,850,974
755,2,787,849
756,3,744,837
757,6,729,915
758,1,750,781
759,2,772,834
760,-5,773,618
761,4,681,805
762,1,834,865
763,1,801,832
764,6,815,1001
765,5,710,865
766,-7,701,484
767,2,843,905
768,2,773,835
769,-3,799,706
770,-6,752,566
771,-5,849,694
772,5,752,907
773,5,758,913
774,3,738,831
775,5,799,954
776,4,710,834
777,-4,821,697
778,-6,801,615
779,4,813,937
780,2,835,897
781,6,787,973
782,-6,737,551
783,2,710,772
784,-3,786,693
785,-6,827,641
786,-5,794,639
787,5,710,865
788,1,682,713
789,-8,689,441
790,-8,695,447
791,4,681,805
792,-5,835,680
793,2,708,770
794,-4,842,718
795,3,724,817
796,1,758,789
797,2,772,834
798,6,689,875
799,-5,765,610
800,-7,841,624
801,-4,709,585
802,5,801,956
803,5,731,886
804,-8,687,439
805,4,694,818
806,-8,794,546
807,-7,764,547
808,-4,836,712
809,1,717,748
810,2,841,903
811,-6,771,585
812,2,724,786
813,-6,778,592
814,-7,799,582
815,-3,779,686
816,-5,758,603
817,2,744,806
818,4,780,904
819,4,757,881
820,-7,771,554
821,3,829,922
822,-6,757,571
823,-8,821,573
824,1,850,881
825,-6,688,502
826,4,729,853
827,6,786,972
828,6,808,994
829,-6,710,524
830,4,843,967
831,3,799,892
832,-4,751,627
833,-8,848,600
834,-8,793,545
835,1,829,860
836,-7,722,505
837,-8,850,602
838,1,730,761
839,-3,841,748
840,6,778,964
841,4,765,889
842,-5,814,659
843,-8,737,489
844,-3,815,722
845,-8,793,545
846,4,807,931
847,3,744,837
848,4,800,924
849,5,729,884
850,5,827,982
851,4,750,874
852,5,694,849
853,-5,738,583
854,-3,759,666
855,-6,785,599
856,3,689,782
857,1,850,881
858,2,723,785
859,1,814,845
860,-3,815,722
861,-5,771,616
862,4,703,827
863,-8,680,432
864,4,751,875
865,5,736,891
866,-7,835,618
867,5,730,885
868,3,729,822
869,-4,794,670
870,6,710,896
871,6,759,945
872,-7,680,463
873,-7,786,569
874,1,835,866
875,5,780,935
876,-5,822,667
877,-4,800,676
878,-6,821,635
879,-4,716,592
880,4,778,902
881,3,849,942
882,6,807,993
883,6,800,986
884,5,813,968
885,3,689,782
886,5,787,942
887,-4,703,579
888,-3,744,651
889,-6,773,587
890,1,808,839
891,-7,820,603
892,-7,722,505
893,3,814,907
894,4,680,804
895,6,744,930
896,4,820,944
897,-6,717,531
898,-7,828,611
899,-3,836,743
900,-8,765,517
901,2,710,772
902,2,723,785
903,-6,813,627
904,-5,773,618
905,-7,738,521
906,6,750,936
907,1,751,782
908,3,709,802
909,1,729,760
910,-6,716,530
911,-5,702,547
912,-7,729,512
913,-3,780,687
914,-7,785,568
915,-6,785,599
916,-4,730,606
917,3,757,850
918,2,750,812
919,5,778,933
920,-4,835,711
921,3,778,871
922,-7,722,505
923,-8,737,489
924,6,750,936
925,-4,751,627
926,6,793,979
927,2,828,890
928,-6,743,557
929,1,689,720
930,-7,758,541
931,1,688,719
932,-8,764,516
933,2,813,875
934,-5,800,645
935,-5,808,653
936,-4,807,683
937,-5,829,674
938,1,779,810
939,-6,709,523
940,6,786,972
941,3,694,787
942,-3,708,615
943,1,694,725
944,1,841,872
945,4,751,875
946,5,800,955
947,1,835,866
948,-7,801,584
949,3,731,824
950,-7,681,464
951,6,806,992
952,-5,757,602
953,5,764,919
954,-6,716,530
955,1,766,797
956,1,737,768
957,-3,807,714
958,1,848,879
959,-4,687,563
960,-6,695,509
961,-7,843,626
962,-4,758,634
963,-3,682,589
964,5,850,1005
965,-7,835,618
966,-4,687,563
967,-3,751,658
968,-4,694,570
969,1,821,852
970,-5,779,624
971,-3,808,715
972,-7,820,603
973,5,792,947
974,-6,813,627
975,-8,843,595
976,4,778,902
977,5,772,927
978,-4,765,641
979,4,716,840
980,-5,822,667
981,-4,729,605
982,1,688,719
983,1,835,866
984,-5,701,546
985,-8,773,525
986,-5,764,609
987,5,827,982
988,4,743,867
989,-7,841,624
990,4,822,946
991,-4,772,648
992,6,813,999
993,-7,792,575
994,1,750,781
995,-6,792,606
996,6,723,909
997,5,737,892
998,4,836,960
999,-8,723,475
